Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,95 oder älter,402,86,316,373,73,300,29,13,16,
,Insgesamt,159631,81251,78380,125884,63196,62688,33747,18055,15692,
412,Unter 1,8331,4347,3984,6783,3538,3245,1548,809,739,
"Frankfurt am Main, Stadt",  1 bis unter   2,7930,4101,3829,6279,3254,3025,1651,847,804,
,  2 bis unter   3,7959,4128,3831,6174,3199,2975,1785,929,856,
,  3 bis unter   4,7924,4047,3877,6172,3171,3001,1752,876,876,
,  4 bis unter   5,7952,4025,3927,6160,3115,3045,1792,910,882,
,  5 bis unter   6,7795,3912,3883,6016,3017,2999,1779,895,884,
,  6 bis unter   7,7455,3784,3671,5713,2893,2820,1742,891,851,
,  7 bis unter   8,7151,3650,3501,5635,2852,2783,1516,798,718,
,  8 bis unter   9,7064,3603,3461,5398,2757,2641,1666,846,820,
,  9 bis unter 10,6874,3482,3392,5029,2559,2470,1845,923,922,
,10 bis unter 11,6891,3517,3374,4954,2551,2403,1937,966,971,
,11 bis unter 12,6936,3465,3471,5429,2705,2724,1507,760,747,
,12 bis unter 13,6711,3373,3338,5271,2625,2646,1440,748,692,
,13 bis unter 14,6766,3414,3352,5417,2756,2661,1349,658,691,
,14 bis unter 15,6652,3474,3178,5402,2800,2602,1250,674,576,
,15 bis unter 16,6411,3264,3147,5186,2630,2556,1225,634,591,
,16 bis unter 17,6452,3363,3089,5195,2680,2515,1257,683,574,
,17 bis unter 18,6509,3360,3149,5220,2660,2560,1289,700,589,
,18 bis unter 19,6329,3280,3049,4990,2565,2425,1339,715,624,
,19 bis unter 20,6833,3459,3374,5355,2663,2692,1478,796,682,
,20 bis unter 21,7336,3665,3671,5654,2798,2856,1682,867,815,
,21 bis unter 22,8117,3949,4168,6023,2832,3191,2094,1117,977,
,22 bis unter 23,8877,4442,4435,6021,2932,3089,2856,1510,1346,
,23 bis unter 24,9336,4529,4807,6303,3002,3301,3033,1527,1506,
,24 bis unter 25,10659,5294,5365,6906,3293,3613,3753,2001,1752,
,25 bis unter 26,11101,5365,5736,7110,3383,3727,3991,1982,2009,
,26 bis unter 27,11807,5745,6062,7402,3609,3793,4405,2136,2269,
,27 bis unter 28,12504,6129,6375,7874,3784,4090,4630,2345,2285,
,28 bis unter 29,13118,6441,6677,8297,4014,4283,4821,2427,2394,
,29 bis unter 30,13678,6751,6927,8574,4169,4405,5104,2582,2522,
,30 bis unter 31,13877,6761,7116,8562,4111,4451,5315,2650,2665,
,31 bis unter 32,14626,7257,7369,9183,4547,4636,5443,2710,2733,
,32 bis unter 33,14353,7185,7168,8915,4433,4482,5438,2752,2686,
,33 bis unter 34,14119,7121,6998,8690,4341,4349,5429,2780,2649,
,34 bis unter 35,13554,6694,6860,8412,4091,4321,5142,2603,2539,
,35 bis unter 36,13291,6620,6671,8139,4000,4139,5152,2620,2532,
,36 bis unter 37,12555,6243,6312,7776,3848,3928,4779,2395,2384,
,37 bis unter 38,12489,6282,6207,7734,3924,3810,4755,2358,2397,
,38 bis unter 39,12185,6094,6091,7701,3851,3850,4484,2243,2241,
,39 bis unter 40,12423,6137,6286,7865,3939,3926,4558,2198,2360,
,40 bis unter 41,12028,5874,6154,7533,3715,3818,4495,2159,2336,
,41 bis unter 42,11808,5771,6037,7372,3556,3816,4436,2215,2221,
,42 bis unter 43,11352,5601,5751,6922,3331,3591,4430,2270,2160,
,43 bis unter 44,11052,5558,5494,6843,3423,3420,4209,2135,2074,
,44 bis unter 45,10621,5305,5316,6593,3293,3300,4028,2012,2016,
,45 bis unter 46,10589,5304,5285,6473,3265,3208,4116,2039,2077,
,46 bis unter 47,10344,5239,5105,6279,3181,3098,4065,2058,2007,
,47 bis unter 48,10247,5133,5114,6180,3099,3081,4067,2034,2033,
,48 bis unter 49,9977,5066,4911,6068,3144,2924,3909,1922,1987,
,49 bis unter 50,10305,5368,4937,6404,3348,3056,3901,2020,1881,
,50 bis unter 51,10564,5477,5087,6755,3559,3196,3809,1918,1891,
,51 bis unter 52,10566,5432,5134,6972,3627,3345,3594,1805,1789,
,52 bis unter 53,11098,5919,5179,7584,4069,3515,3514,1850,1664,
,53 bis unter 54,11423,6060,5363,8013,4275,3738,3410,1785,1625,
,54 bis unter 55,11206,5850,5356,8124,4259,3865,3082,1591,1491,
,55 bis unter 56,11162,5817,5345,7960,4194,3766,3202,1623,1579,
,56 bis unter 57,10930,5621,5309,7864,4022,3842,3066,1599,1467,
,57 bis unter 58,10623,5566,5057,7820,4112,3708,2803,1454,1349,
,58 bis unter 59,10166,5231,4935,7509,3806,3703,2657,1425,1232,
,59 bis unter 60,9304,4791,4513,6876,3541,3335,2428,1250,1178,
,60 bis unter 61,8945,4443,4502,6731,3330,3401,2214,1113,1101,
,61 bis unter 62,8665,4369,4296,6499,3314,3185,2166,1055,1111,
,62 bis unter 63,8007,4060,3947,6134,3108,3026,1873,952,921,
,63 bis unter 64,7492,3716,3776,5818,2906,2912,1674,810,864,
,64 bis unter 65,7379,3594,3785,5669,2752,2917,1710,842,868,
,65 bis unter 66,7011,3398,3613,5254,2581,2673,1757,817,940,
,66 bis unter 67,6594,3105,3489,5028,2417,2611,1566,688,878,
,67 bis unter 68,6439,3002,3437,4948,2386,2562,1491,616,875,
,68 bis unter 69,6202,2819,3383,4841,2277,2564,1361,542,819,
,69 bis unter 70,6123,2820,3303,4753,2256,2497,1370,564,806,
,70 bis unter 71,5724,2607,3117,4513,2112,2401,1211,495,716,
,71 bis unter 72,6080,2834,3246,4619,2186,2433,1461,648,813,
,72 bis unter 73,5794,2662,3132,4479,2082,2397,1315,580,735,
,73 bis unter 74,5599,2542,3057,4241,1927,2314,1358,615,743,
,74 bis unter 75,5268,2431,2837,4068,1835,2233,1200,596,604,
,75 bis unter 76,4630,2131,2499,3517,1602,1915,1113,529,584,
,76 bis unter 77,3960,1818,2142,3053,1383,1670,907,435,472,
,77 bis unter 78,4727,2130,2597,3893,1748,2145,834,382,452,
,78 bis unter 79,4514,1992,2522,3775,1634,2141,739,358,381,
,79 bis unter 80,4219,1911,2308,3490,1553,1937,729,358,371,
,80 bis unter 81,4644,2050,2594,4015,1718,2297,629,332,297,
,81 bis unter 82,4636,1977,2659,3932,1635,2297,704,342,362,
,82 bis unter 83,4241,1778,2463,3650,1490,2160,591,288,303,
,83 bis unter 84,3769,1483,2286,3239,1210,2029,530,273,257,
,84 bis unter 85,3277,1284,1993,2823,1086,1737,454,198,256,
,85 bis unter 86,3069,1192,1877,2643,991,1652,426,201,225,
,86 bis unter 87,2603,979,1624,2316,846,1470,287,133,154,
,87 bis unter 88,2213,813,1400,1935,672,1263,278,141,137,
,88 bis unter 89,1520,562,958,1267,428,839,253,134,119,
,89 bis unter 90,1358,461,897,1176,387,789,182,74,108,
,90 bis unter 91,1240,434,806,1089,353,736,151,81,70,
,91 bis unter 92,1125,334,791,986,284,702,139,50,89,
,92 bis unter 93,877,268,609,791,230,561,86,38,48,
,93 bis unter 94,717,221,496,639,188,451,78,33,45,
,94 bis unter 95,567,152,415,509,130,379,58,22,36,
,95 oder älter,1701,418,1283,1492,329,1163,209,89,120,
,Insgesamt,759224,374525,384699,534888,262076,272812,224336,112449,111887,
413,Unter 1,1564,780,784,1077,550,527,487,230,257,
"Offenbach am Main, Stadt",  1 bis unter   2,1507,795,712,1073,564,509,434,231,203,
,  2 bis unter   3,1515,796,719,1077,567,510,438,229,209,
,  3 bis unter   4,1543,763,780,1029,508,521,514,255,259,
,  4 bis unter   5,1393,702,691,968,505,463,425,197,228,
,  5 bis unter   6,1435,722,713,983,502,481,452,220,232,
,  6 bis unter   7,1386,724,662,950,481,469,436,243,193,
,  7 bis unter   8,1304,619,685,896,429,467,408,190,218,
,  8 bis unter   9,1286,664,622,862,433,429,424,231,193,
,  9 bis unter 10,1337,705,632,907,472,435,430,233,197,
,10 bis unter 11,1259,668,591,853,430,423,406,238,168,
,11 bis unter 12,1291,646,645,898,452,446,393,194,199,
,12 bis unter 13,1272,649,623,896,453,443,376,196,180,
,13 bis unter 14,1319,675,644,928,479,449,391,196,195,
,14 bis unter 15,1262,605,657,921,438,483,341,167,174,
,15 bis unter 16,1253,668,585,917,484,433,336,184,152,
,16 bis unter 17,1297,666,631,925,479,446,372,187,185,
,17 bis unter 18,1276,674,602,924,480,444,352,194,158,
,18 bis unter 19,1281,668,613,951,485,466,330,183,147,
,19 bis unter 20,1380,725,655,983,513,470,397,212,185,
,20 bis unter 21,1369,716,653,972,508,464,397,208,189,
,21 bis unter 22,1477,745,732,998,489,509,479,256,223,
,22 bis unter 23,1521,776,745,935,459,476,586,317,269,
,23 bis unter 24,1751,875,876,1024,497,527,727,378,349,
,24 bis unter 25,1847,946,901,1063,525,538,784,421,363,
,25 bis unter 26,1955,969,986,1089,517,572,866,452,414,
,26 bis unter 27,2003,997,1006,1067,515,552,936,482,454,
,27 bis unter 28,2026,987,1039,1100,521,579,926,466,460,
,28 bis unter 29,2047,1046,1001,1070,533,537,977,513,464,
,29 bis unter 30,2120,1040,1080,1140,562,578,980,478,502,
,30 bis unter 31,2192,1100,1092,1195,592,603,997,508,489,
,31 bis unter 32,2251,1136,1115,1145,573,572,1106,563,543,
,32 bis unter 33,2393,1192,1201,1251,639,612,1142,553,589,
,33 bis unter 34,2232,1129,1103,1137,564,573,1095,565,530,
,34 bis unter 35,2210,1101,1109,1092,526,566,1118,575,543,
,35 bis unter 36,2047,1071,976,1028,524,504,1019,547,472,
,36 bis unter 37,1973,1001,972,1041,516,525,932,485,447,
,37 bis unter 38,1873,907,966,953,446,507,920,461,459,
,38 bis unter 39,1968,998,970,1047,517,530,921,481,440,
,39 bis unter 40,2049,1074,975,1028,515,513,1021,559,462,
,40 bis unter 41,1878,969,909,968,511,457,910,458,452,
,41 bis unter 42,1791,864,927,896,440,456,895,424,471,
,42 bis unter 43,1768,879,889,880,448,432,888,431,457,
,43 bis unter 44,1757,866,891,858,412,446,899,454,445,
,44 bis unter 45,1809,891,918,913,446,467,896,445,451,
,45 bis unter 46,1705,839,866,820,392,428,885,447,438,
,46 bis unter 47,1776,911,865,856,421,435,920,490,430,
,47 bis unter 48,1609,813,796,711,347,364,898,466,432,
,48 bis unter 49,1673,851,822,828,432,396,845,419,426,
,49 bis unter 50,1658,881,777,825,452,373,833,429,404,
,50 bis unter 51,1747,906,841,909,474,435,838,432,406,
,51 bis unter 52,1774,930,844,933,478,455,841,452,389,
,52 bis unter 53,1842,942,900,1044,523,521,798,419,379,
,53 bis unter 54,1925,988,937,1109,571,538,816,417,399,
,54 bis unter 55,1901,1000,901,1194,643,551,707,357,350,
,55 bis unter 56,1888,1006,882,1162,618,544,726,388,338,
,56 bis unter 57,1891,959,932,1201,597,604,690,362,328,
,57 bis unter 58,1814,945,869,1176,612,564,638,333,305,
,58 bis unter 59,1834,957,877,1223,629,594,611,328,283,
,59 bis unter 60,1716,899,817,1134,578,556,582,321,261,
,60 bis unter 61,1594,824,770,1091,550,541,503,274,229,
,61 bis unter 62,1641,844,797,1088,568,520,553,276,277,
,62 bis unter 63,1488,752,736,1020,506,514,468,246,222,
,63 bis unter 64,1413,695,718,989,484,505,424,211,213,
,64 bis unter 65,1273,643,630,893,448,445,380,195,185,
,65 bis unter 66,1310,651,659,916,439,477,394,212,182,
,66 bis unter 67,1260,591,669,904,417,487,356,174,182,
,67 bis unter 68,1240,608,632,880,433,447,360,175,185,
,68 bis unter 69,1050,490,560,767,376,391,283,114,169,
,69 bis unter 70,1044,450,594,780,354,426,264,96,168,
,70 bis unter 71,992,456,536,724,341,383,268,115,153,
,71 bis unter 72,1026,480,546,739,341,398,287,139,148,
,72 bis unter 73,1036,449,587,756,332,424,280,117,163,
,73 bis unter 74,996,427,569,747,320,427,249,107,142,
,74 bis unter 75,951,413,538,715,311,404,236,102,134,
