Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,10 bis unter 11,2389,1203,1186,1994,995,999,395,208,187,
,11 bis unter 12,2454,1298,1156,2097,1106,991,357,192,165,
,12 bis unter 13,2389,1217,1172,2034,1050,984,355,167,188,
,13 bis unter 14,2402,1248,1154,2048,1071,977,354,177,177,
,14 bis unter 15,2402,1237,1165,2067,1042,1025,335,195,140,
,15 bis unter 16,2367,1223,1144,2055,1067,988,312,156,156,
,16 bis unter 17,2436,1286,1150,2127,1118,1009,309,168,141,
,17 bis unter 18,2562,1333,1229,2258,1162,1096,304,171,133,
,18 bis unter 19,2508,1351,1157,2207,1195,1012,301,156,145,
,19 bis unter 20,2484,1329,1155,2189,1169,1020,295,160,135,
,20 bis unter 21,2476,1324,1152,2103,1111,992,373,213,160,
,21 bis unter 22,2546,1338,1208,2119,1091,1028,427,247,180,
,22 bis unter 23,2620,1447,1173,2061,1111,950,559,336,223,
,23 bis unter 24,2597,1418,1179,2009,1067,942,588,351,237,
,24 bis unter 25,2895,1549,1346,2225,1134,1091,670,415,255,
,25 bis unter 26,2724,1461,1263,2128,1131,997,596,330,266,
,26 bis unter 27,2723,1483,1240,2040,1060,980,683,423,260,
,27 bis unter 28,2904,1520,1384,2206,1103,1103,698,417,281,
,28 bis unter 29,3003,1583,1420,2266,1139,1127,737,444,293,
,29 bis unter 30,2789,1467,1322,2145,1101,1044,644,366,278,
,30 bis unter 31,2998,1521,1477,2276,1140,1136,722,381,341,
,31 bis unter 32,3206,1671,1535,2435,1228,1207,771,443,328,
,32 bis unter 33,3173,1583,1590,2449,1183,1266,724,400,324,
,33 bis unter 34,3268,1725,1543,2482,1272,1210,786,453,333,
,34 bis unter 35,3383,1741,1642,2667,1320,1347,716,421,295,
,35 bis unter 36,3351,1711,1640,2633,1325,1308,718,386,332,
,36 bis unter 37,3268,1667,1601,2511,1248,1263,757,419,338,
,37 bis unter 38,3197,1587,1610,2484,1227,1257,713,360,353,
,38 bis unter 39,3223,1639,1584,2507,1268,1239,716,371,345,
,39 bis unter 40,3319,1648,1671,2648,1275,1373,671,373,298,
,40 bis unter 41,3260,1611,1649,2565,1269,1296,695,342,353,
,41 bis unter 42,3467,1757,1710,2726,1352,1374,741,405,336,
,42 bis unter 43,3250,1653,1597,2527,1281,1246,723,372,351,
,43 bis unter 44,3184,1494,1690,2506,1172,1334,678,322,356,
,44 bis unter 45,3160,1596,1564,2447,1239,1208,713,357,356,
,45 bis unter 46,3085,1537,1548,2370,1172,1198,715,365,350,
,46 bis unter 47,3117,1554,1563,2416,1196,1220,701,358,343,
,47 bis unter 48,3130,1589,1541,2435,1247,1188,695,342,353,
,48 bis unter 49,3120,1502,1618,2450,1187,1263,670,315,355,
,49 bis unter 50,3373,1593,1780,2691,1260,1431,682,333,349,
,50 bis unter 51,3822,1835,1987,3180,1539,1641,642,296,346,
,51 bis unter 52,4075,2042,2033,3434,1722,1712,641,320,321,
,52 bis unter 53,4371,2164,2207,3741,1829,1912,630,335,295,
,53 bis unter 54,4676,2351,2325,4063,2045,2018,613,306,307,
,54 bis unter 55,4724,2332,2392,4175,2070,2105,549,262,287,
,55 bis unter 56,4938,2407,2531,4354,2115,2239,584,292,292,
,56 bis unter 57,4774,2359,2415,4220,2084,2136,554,275,279,
,57 bis unter 58,5002,2470,2532,4472,2223,2249,530,247,283,
,58 bis unter 59,4948,2539,2409,4420,2277,2143,528,262,266,
,59 bis unter 60,4593,2289,2304,4133,2065,2068,460,224,236,
,60 bis unter 61,4631,2282,2349,4220,2073,2147,411,209,202,
,61 bis unter 62,4377,2153,2224,3968,1947,2021,409,206,203,
,62 bis unter 63,4170,2034,2136,3806,1853,1953,364,181,183,
,63 bis unter 64,3917,1960,1957,3596,1787,1809,321,173,148,
,64 bis unter 65,3907,1913,1994,3600,1757,1843,307,156,151,
,65 bis unter 66,3711,1843,1868,3418,1690,1728,293,153,140,
,66 bis unter 67,3503,1741,1762,3241,1608,1633,262,133,129,
,67 bis unter 68,3339,1633,1706,3101,1524,1577,238,109,129,
,68 bis unter 69,3162,1468,1694,2954,1385,1569,208,83,125,
,69 bis unter 70,3207,1529,1678,2986,1436,1550,221,93,128,
,70 bis unter 71,3078,1477,1601,2886,1396,1490,192,81,111,
,71 bis unter 72,3137,1507,1630,2931,1417,1514,206,90,116,
,72 bis unter 73,3202,1462,1740,3005,1377,1628,197,85,112,
,73 bis unter 74,2898,1377,1521,2694,1277,1417,204,100,104,
,74 bis unter 75,2611,1222,1389,2446,1130,1316,165,92,73,
,75 bis unter 76,2168,966,1202,2000,876,1124,168,90,78,
,76 bis unter 77,1775,817,958,1635,749,886,140,68,72,
,77 bis unter 78,2356,1084,1272,2213,1018,1195,143,66,77,
,78 bis unter 79,2295,1045,1250,2181,982,1199,114,63,51,
,79 bis unter 80,2088,921,1167,1976,865,1111,112,56,56,
,80 bis unter 81,2489,1131,1358,2395,1092,1303,94,39,55,
,81 bis unter 82,2559,1142,1417,2456,1081,1375,103,61,42,
,82 bis unter 83,2329,994,1335,2243,948,1295,86,46,40,
,83 bis unter 84,2061,870,1191,1976,827,1149,85,43,42,
,84 bis unter 85,1833,745,1088,1770,709,1061,63,36,27,
,85 bis unter 86,1612,669,943,1554,637,917,58,32,26,
,86 bis unter 87,1457,578,879,1408,551,857,49,27,22,
,87 bis unter 88,1148,462,686,1117,445,672,31,17,14,
,88 bis unter 89,849,313,536,822,298,524,27,15,12,
,89 bis unter 90,714,257,457,695,246,449,19,11,8,
,90 bis unter 91,618,193,425,602,186,416,16,7,9,
,91 bis unter 92,533,171,362,515,161,354,18,10,8,
,92 bis unter 93,428,127,301,419,122,297,9,5,4,
,93 bis unter 94,359,112,247,353,109,244,6,3,3,
,94 bis unter 95,224,55,169,216,52,164,8,3,5,
,95 oder älter,607,115,492,584,110,474,23,5,18,
,Insgesamt,271166,133915,137251,232407,113555,118852,38759,20360,18399,
432,Unter 1,2844,1465,1379,2500,1289,1211,344,176,168,
Landkreis Darmstadt-Dieburg,  1 bis unter   2,2737,1381,1356,2371,1196,1175,366,185,181,
,  2 bis unter   3,2882,1452,1430,2484,1255,1229,398,197,201,
,  3 bis unter   4,3050,1547,1503,2627,1322,1305,423,225,198,
,  4 bis unter   5,2917,1479,1438,2537,1271,1266,380,208,172,
,  5 bis unter   6,3053,1539,1514,2590,1289,1301,463,250,213,
,  6 bis unter   7,3043,1564,1479,2593,1326,1267,450,238,212,
,  7 bis unter   8,2991,1539,1452,2551,1305,1246,440,234,206,
,  8 bis unter   9,2816,1452,1364,2415,1250,1165,401,202,199,
,  9 bis unter 10,2791,1471,1320,2381,1256,1125,410,215,195,
,10 bis unter 11,2850,1487,1363,2440,1268,1172,410,219,191,
,11 bis unter 12,2908,1445,1463,2479,1243,1236,429,202,227,
,12 bis unter 13,2773,1391,1382,2375,1204,1171,398,187,211,
,13 bis unter 14,2840,1460,1380,2475,1272,1203,365,188,177,
,14 bis unter 15,2788,1438,1350,2441,1256,1185,347,182,165,
,15 bis unter 16,2732,1411,1321,2373,1232,1141,359,179,180,
,16 bis unter 17,2828,1480,1348,2499,1302,1197,329,178,151,
,17 bis unter 18,2871,1483,1388,2523,1288,1235,348,195,153,
,18 bis unter 19,2892,1438,1454,2544,1239,1305,348,199,149,
,19 bis unter 20,2882,1543,1339,2518,1337,1181,364,206,158,
,20 bis unter 21,2875,1557,1318,2462,1304,1158,413,253,160,
,21 bis unter 22,3002,1649,1353,2507,1358,1149,495,291,204,
,22 bis unter 23,3027,1627,1400,2368,1261,1107,659,366,293,
,23 bis unter 24,3086,1674,1412,2387,1281,1106,699,393,306,
,24 bis unter 25,3264,1813,1451,2450,1310,1140,814,503,311,
,25 bis unter 26,3179,1703,1476,2379,1272,1107,800,431,369,
,26 bis unter 27,3099,1627,1472,2311,1204,1107,788,423,365,
,27 bis unter 28,3215,1778,1437,2382,1278,1104,833,500,333,
,28 bis unter 29,3260,1665,1595,2428,1208,1220,832,457,375,
,29 bis unter 30,3265,1691,1574,2449,1249,1200,816,442,374,
,30 bis unter 31,3353,1798,1555,2491,1326,1165,862,472,390,
,31 bis unter 32,3578,1846,1732,2738,1400,1338,840,446,394,
,32 bis unter 33,3572,1829,1743,2732,1359,1373,840,470,370,
,33 bis unter 34,3644,1825,1819,2742,1350,1392,902,475,427,
,34 bis unter 35,3702,1892,1810,2859,1442,1417,843,450,393,
,35 bis unter 36,3526,1773,1753,2712,1341,1371,814,432,382,
,36 bis unter 37,3401,1770,1631,2619,1355,1264,782,415,367,
,37 bis unter 38,3564,1746,1818,2753,1346,1407,811,400,411,
,38 bis unter 39,3546,1705,1841,2782,1337,1445,764,368,396,
,39 bis unter 40,3739,1849,1890,2929,1456,1473,810,393,417,
,40 bis unter 41,3775,1875,1900,2952,1473,1479,823,402,421,
,41 bis unter 42,3982,1984,1998,3102,1545,1557,880,439,441,
,42 bis unter 43,3769,1856,1913,2950,1436,1514,819,420,399,
,43 bis unter 44,3687,1806,1881,2871,1380,1491,816,426,390,
,44 bis unter 45,3646,1778,1868,2829,1382,1447,817,396,421,
,45 bis unter 46,3673,1883,1790,2866,1479,1387,807,404,403,
,46 bis unter 47,3534,1749,1785,2762,1327,1435,772,422,350,
,47 bis unter 48,3567,1784,1783,2768,1383,1385,799,401,398,
,48 bis unter 49,3556,1743,1813,2727,1337,1390,829,406,423,
,49 bis unter 50,3760,1815,1945,2971,1430,1541,789,385,404,
,50 bis unter 51,4185,2075,2110,3387,1664,1723,798,411,387,
,51 bis unter 52,4329,2165,2164,3573,1778,1795,756,387,369,
,52 bis unter 53,4842,2421,2421,4106,2060,2046,736,361,375,
,53 bis unter 54,5125,2532,2593,4432,2184,2248,693,348,345,
,54 bis unter 55,5134,2566,2568,4512,2240,2272,622,326,296,
,55 bis unter 56,5329,2679,2650,4652,2326,2326,677,353,324,
,56 bis unter 57,5300,2642,2658,4643,2316,2327,657,326,331,
,57 bis unter 58,5308,2694,2614,4668,2368,2300,640,326,314,
,58 bis unter 59,5150,2518,2632,4610,2252,2358,540,266,274,
,59 bis unter 60,4936,2452,2484,4431,2188,2243,505,264,241,
,60 bis unter 61,4695,2365,2330,4263,2140,2123,432,225,207,
,61 bis unter 62,4575,2272,2303,4130,2037,2093,445,235,210,
,62 bis unter 63,4326,2154,2172,3902,1953,1949,424,201,223,
,63 bis unter 64,4139,2030,2109,3716,1807,1909,423,223,200,
,64 bis unter 65,3998,1933,2065,3623,1728,1895,375,205,170,
,65 bis unter 66,3764,1862,1902,3423,1680,1743,341,182,159,
,66 bis unter 67,3575,1729,1846,3257,1585,1672,318,144,174,
,67 bis unter 68,3422,1586,1836,3115,1455,1660,307,131,176,
,68 bis unter 69,3291,1583,1708,3024,1472,1552,267,111,156,
,69 bis unter 70,3339,1604,1735,3091,1494,1597,248,110,138,
,70 bis unter 71,3228,1550,1678,3010,1466,1544,218,84,134,
,71 bis unter 72,3457,1621,1836,3199,1508,1691,258,113,145,
,72 bis unter 73,3323,1645,1678,3095,1531,1564,228,114,114,
,73 bis unter 74,3024,1407,1617,2785,1295,1490,239,112,127,
,74 bis unter 75,2783,1327,1456,2563,1209,1354,220,118,102,
,75 bis unter 76,2254,1031,1223,2063,937,1126,191,94,97,
,76 bis unter 77,1852,834,1018,1680,748,932,172,86,86,
,77 bis unter 78,2618,1197,1421,2452,1118,1334,166,79,87,
,78 bis unter 79,2396,1125,1271,2279,1057,1222,117,68,49,
,79 bis unter 80,2249,1044,1205,2100,967,1133,149,77,72,
,80 bis unter 81,2610,1161,1449,2508,1106,1402,102,55,47,
,81 bis unter 82,2526,1135,1391,2402,1073,1329,124,62,62,
,82 bis unter 83,2388,1063,1325,2282,1002,1280,106,61,45,
,83 bis unter 84,2051,884,1167,1963,839,1124,88,45,43,
,84 bis unter 85,1766,752,1014,1693,715,978,73,37,36,
,85 bis unter 86,1676,707,969,1613,677,936,63,30,33,
,86 bis unter 87,1400,548,852,1355,525,830,45,23,22,
,87 bis unter 88,1156,479,677,1112,457,655,44,22,22,
,88 bis unter 89,800,318,482,738,283,455,62,35,27,
,89 bis unter 90,664,258,406,632,242,390,32,16,16,
,90 bis unter 91,587,207,380,567,198,369,20,9,11,
,91 bis unter 92,520,180,340,500,175,325,20,5,15,
,92 bis unter 93,418,140,278,402,130,272,16,10,6,
,93 bis unter 94,307,95,212,300,93,207,7,2,5,
,94 bis unter 95,253,60,193,244,58,186,9,2,7,
,95 oder älter,498,123,375,469,116,353,29,7,22,
,Insgesamt,296900,147308,149592,252558,124261,128297,44342,23047,21295,
433,Unter 1,3032,1572,1460,2525,1300,1225,507,272,235,
Landkreis Groß-Gerau,  1 bis unter   2,2804,1494,1310,2296,1230,1066,508,264,244,
,  2 bis unter   3,2854,1438,1416,2302,1151,1151,552,287,265,
,  3 bis unter   4,3050,1605,1445,2499,1314,1185,551,291,260,
,  4 bis unter   5,2964,1527,1437,2418,1231,1187,546,296,250,
,  5 bis unter   6,3038,1559,1479,2486,1278,1208,552,281,271,
,  6 bis unter   7,2953,1545,1408,2382,1241,1141,571,304,267,
,  7 bis unter   8,2828,1448,1380,2298,1181,1117,530,267,263,
,  8 bis unter   9,2675,1377,1298,2180,1116,1064,495,261,234,
,  9 bis unter 10,2636,1342,1294,2145,1102,1043,491,240,251,
,10 bis unter 11,2767,1411,1356,2208,1113,1095,559,298,261,
,11 bis unter 12,2717,1379,1338,2223,1132,1091,494,247,247,
,12 bis unter 13,2660,1416,1244,2183,1159,1024,477,257,220,
,13 bis unter 14,2732,1375,1357,2250,1125,1125,482,250,232,
,14 bis unter 15,2731,1373,1358,2244,1116,1128,487,257,230,
,15 bis unter 16,2507,1256,1251,2043,1007,1036,464,249,215,
,16 bis unter 17,2690,1384,1306,2275,1138,1137,415,246,169,
,17 bis unter 18,2692,1438,1254,2252,1185,1067,440,253,187,
,18 bis unter 19,2674,1373,1301,2182,1100,1082,492,273,219,
,19 bis unter 20,2710,1486,1224,2213,1184,1029,497,302,195,
,20 bis unter 21,2901,1540,1361,2319,1199,1120,582,341,241,
,21 bis unter 22,3019,1644,1375,2325,1247,1078,694,397,297,
,22 bis unter 23,3002,1627,1375,1999,1045,954,1003,582,421,
,23 bis unter 24,3177,1689,1488,2141,1105,1036,1036,584,452,
,24 bis unter 25,3297,1756,1541,2293,1191,1102,1004,565,439,
,25 bis unter 26,3224,1679,1545,2136,1076,1060,1088,603,485,
,26 bis unter 27,3215,1759,1456,2016,1065,951,1199,694,505,
,27 bis unter 28,3229,1702,1527,2121,1094,1027,1108,608,500,
,28 bis unter 29,3370,1762,1608,2101,1047,1054,1269,715,554,
,29 bis unter 30,3369,1747,1622,2143,1081,1062,1226,666,560,
,30 bis unter 31,3532,1815,1717,2244,1120,1124,1288,695,593,
,31 bis unter 32,3652,1851,1801,2329,1155,1174,1323,696,627,
,32 bis unter 33,3790,1917,1873,2486,1240,1246,1304,677,627,
,33 bis unter 34,3820,1953,1867,2461,1231,1230,1359,722,637,
,34 bis unter 35,3773,1947,1826,2446,1221,1225,1327,726,601,
,35 bis unter 36,3764,1947,1817,2470,1252,1218,1294,695,599,
,36 bis unter 37,3591,1824,1767,2344,1165,1179,1247,659,588,
,37 bis unter 38,3662,1848,1814,2408,1212,1196,1254,636,618,
,38 bis unter 39,3683,1883,1800,2434,1214,1220,1249,669,580,
,39 bis unter 40,3780,1921,1859,2522,1253,1269,1258,668,590,
,40 bis unter 41,3846,1914,1932,2549,1233,1316,1297,681,616,
,41 bis unter 42,3886,2033,1853,2547,1297,1250,1339,736,603,
,42 bis unter 43,3691,1852,1839,2453,1221,1232,1238,631,607,
,43 bis unter 44,3692,1874,1818,2404,1231,1173,1288,643,645,
,44 bis unter 45,3613,1725,1888,2343,1130,1213,1270,595,675,
,45 bis unter 46,3557,1765,1792,2351,1149,1202,1206,616,590,
,46 bis unter 47,3523,1816,1707,2262,1140,1122,1261,676,585,
,47 bis unter 48,3401,1757,1644,2165,1105,1060,1236,652,584,
,48 bis unter 49,3312,1698,1614,2168,1100,1068,1144,598,546,
,49 bis unter 50,3677,1863,1814,2475,1218,1257,1202,645,557,
,50 bis unter 51,3875,2005,1870,2694,1378,1316,1181,627,554,
,51 bis unter 52,4063,2109,1954,2977,1541,1436,1086,568,518,
,52 bis unter 53,4298,2228,2070,3212,1644,1568,1086,584,502,
,53 bis unter 54,4508,2330,2178,3524,1800,1724,984,530,454,
,54 bis unter 55,4542,2264,2278,3602,1775,1827,940,489,451,
,55 bis unter 56,4564,2356,2208,3670,1885,1785,894,471,423,
,56 bis unter 57,4503,2323,2180,3654,1882,1772,849,441,408,
,57 bis unter 58,4584,2413,2171,3724,1951,1773,860,462,398,
,58 bis unter 59,4431,2240,2191,3662,1831,1831,769,409,360,
,59 bis unter 60,4100,2084,2016,3433,1728,1705,667,356,311,
,60 bis unter 61,3852,1953,1899,3285,1658,1627,567,295,272,
,61 bis unter 62,3744,1877,1867,3164,1584,1580,580,293,287,
,62 bis unter 63,3603,1808,1795,3082,1534,1548,521,274,247,
,63 bis unter 64,3383,1658,1725,2903,1435,1468,480,223,257,
,64 bis unter 65,3153,1573,1580,2682,1353,1329,471,220,251,
,65 bis unter 66,3099,1450,1649,2584,1218,1366,515,232,283,
,66 bis unter 67,2926,1413,1513,2485,1207,1278,441,206,235,
,67 bis unter 68,2850,1360,1490,2406,1165,1241,444,195,249,
,68 bis unter 69,2572,1212,1360,2213,1081,1132,359,131,228,
,69 bis unter 70,2691,1255,1436,2314,1103,1211,377,152,225,
,70 bis unter 71,2603,1176,1427,2258,1035,1223,345,141,204,
,71 bis unter 72,2779,1272,1507,2403,1122,1281,376,150,226,
,72 bis unter 73,2695,1266,1429,2311,1106,1205,384,160,224,
,73 bis unter 74,2456,1124,1332,2105,972,1133,351,152,199,
,74 bis unter 75,2294,1080,1214,1937,908,1029,357,172,185,
,75 bis unter 76,1949,911,1038,1620,734,886,329,177,152,
,76 bis unter 77,1686,766,920,1390,614,776,296,152,144,
,77 bis unter 78,2140,967,1173,1857,846,1011,283,121,162,
,78 bis unter 79,2072,911,1161,1832,793,1039,240,118,122,
,79 bis unter 80,1887,839,1048,1650,711,939,237,128,109,
,80 bis unter 81,2322,1030,1292,2123,926,1197,199,104,95,
,81 bis unter 82,2323,1033,1290,2124,936,1188,199,97,102,
,82 bis unter 83,2161,944,1217,1990,842,1148,171,102,69,
,83 bis unter 84,1762,735,1027,1605,643,962,157,92,65,
,84 bis unter 85,1602,676,926,1475,611,864,127,65,62,
,85 bis unter 86,1461,621,840,1353,562,791,108,59,49,
,86 bis unter 87,1275,527,748,1172,466,706,103,61,42,
,87 bis unter 88,1023,431,592,942,385,557,81,46,35,
,88 bis unter 89,694,256,438,631,225,406,63,31,32,
,89 bis unter 90,597,223,374,548,196,352,49,27,22,
,90 bis unter 91,556,197,359,512,183,329,44,14,30,
,91 bis unter 92,480,166,314,442,147,295,38,19,19,
,92 bis unter 93,402,154,248,373,133,240,29,21,8,
,93 bis unter 94,249,81,168,231,70,161,18,11,7,
,94 bis unter 95,222,69,153,214,65,149,8,4,4,
,95 oder älter,514,118,396,463,100,363,51,18,33,
,Insgesamt,276307,138390,137917,211890,104524,107366,64417,33866,30551,
434,Unter 1,1999,1000,999,1673,832,841,326,168,158,
Hochtaunuskreis,  1 bis unter   2,2005,979,1026,1669,804,865,336,175,161,
,  2 bis unter   3,2223,1156,1067,1836,945,891,387,211,176,
,  3 bis unter   4,2247,1179,1068,1838,951,887,409,228,181,
,  4 bis unter   5,2322,1210,1112,1880,980,900,442,230,212,
,  5 bis unter   6,2447,1259,1188,1982,1015,967,465,244,221,
,  6 bis unter   7,2510,1302,1208,2047,1061,986,463,241,222,
,  7 bis unter   8,2369,1191,1178,1921,961,960,448,230,218,
,  8 bis unter   9,2543,1290,1253,2054,1042,1012,489,248,241,
,  9 bis unter 10,2384,1255,1129,1940,1000,940,444,255,189,
,10 bis unter 11,2386,1208,1178,1932,973,959,454,235,219,
,11 bis unter 12,2654,1377,1277,2173,1140,1033,481,237,244,
,12 bis unter 13,2450,1254,1196,2033,1032,1001,417,222,195,
,13 bis unter 14,2587,1327,1260,2169,1114,1055,418,213,205,
,14 bis unter 15,2519,1346,1173,2151,1147,1004,368,199,169,
,15 bis unter 16,2477,1240,1237,2113,1042,1071,364,198,166,
,16 bis unter 17,2459,1249,1210,2124,1093,1031,335,156,179,
,17 bis unter 18,2549,1328,1221,2165,1116,1049,384,212,172,
,18 bis unter 19,2446,1278,1168,2096,1096,1000,350,182,168,
,19 bis unter 20,2208,1178,1030,1918,1017,901,290,161,129,
,20 bis unter 21,2078,1115,963,1775,940,835,303,175,128,
,21 bis unter 22,2132,1158,974,1739,937,802,393,221,172,
,22 bis unter 23,2096,1145,951,1627,881,746,469,264,205,
,23 bis unter 24,2130,1159,971,1668,888,780,462,271,191,
,24 bis unter 25,2275,1248,1027,1689,942,747,586,306,280,
,25 bis unter 26,2188,1161,1027,1619,838,781,569,323,246,
,26 bis unter 27,2048,1066,982,1452,757,695,596,309,287,
,27 bis unter 28,2070,1074,996,1451,749,702,619,325,294,
,28 bis unter 29,2075,1069,1006,1487,789,698,588,280,308,
,29 bis unter 30,2165,1112,1053,1511,792,719,654,320,334,
,30 bis unter 31,2211,1091,1120,1489,707,782,722,384,338,
,31 bis unter 32,2425,1209,1216,1757,855,902,668,354,314,
,32 bis unter 33,2353,1176,1177,1642,817,825,711,359,352,
,33 bis unter 34,2406,1213,1193,1728,856,872,678,357,321,
,34 bis unter 35,2480,1231,1249,1697,831,866,783,400,383,
,35 bis unter 36,2650,1301,1349,1863,894,969,787,407,380,
,36 bis unter 37,2623,1293,1330,1854,897,957,769,396,373,
,37 bis unter 38,2797,1358,1439,2009,973,1036,788,385,403,
,38 bis unter 39,2730,1250,1480,1995,928,1067,735,322,413,
,39 bis unter 40,2927,1407,1520,2155,1026,1129,772,381,391,
,40 bis unter 41,3029,1408,1621,2187,1025,1162,842,383,459,
,41 bis unter 42,3170,1512,1658,2263,1088,1175,907,424,483,
,42 bis unter 43,3091,1453,1638,2225,1043,1182,866,410,456,
,43 bis unter 44,3077,1457,1620,2238,1088,1150,839,369,470,
,44 bis unter 45,3054,1461,1593,2258,1058,1200,796,403,393,
,45 bis unter 46,3157,1497,1660,2354,1111,1243,803,386,417,
,46 bis unter 47,3111,1520,1591,2275,1121,1154,836,399,437,
,47 bis unter 48,3157,1510,1647,2338,1135,1203,819,375,444,
,48 bis unter 49,3200,1553,1647,2437,1196,1241,763,357,406,
,49 bis unter 50,3301,1566,1735,2516,1216,1300,785,350,435,
,50 bis unter 51,3579,1747,1832,2873,1412,1461,706,335,371,
,51 bis unter 52,3879,1864,2015,3126,1506,1620,753,358,395,
,52 bis unter 53,3914,1961,1953,3292,1669,1623,622,292,330,
,53 bis unter 54,4233,2071,2162,3596,1754,1842,637,317,320,
,54 bis unter 55,4255,2095,2160,3667,1844,1823,588,251,337,
,55 bis unter 56,4222,2151,2071,3666,1878,1788,556,273,283,
,56 bis unter 57,4236,2078,2158,3716,1854,1862,520,224,296,
,57 bis unter 58,4219,2054,2165,3708,1796,1912,511,258,253,
,58 bis unter 59,4083,2036,2047,3577,1780,1797,506,256,250,
,59 bis unter 60,3890,1864,2026,3435,1653,1782,455,211,244,
,60 bis unter 61,3550,1737,1813,3128,1548,1580,422,189,233,
,61 bis unter 62,3366,1654,1712,2965,1472,1493,401,182,219,
,62 bis unter 63,3317,1589,1728,2943,1422,1521,374,167,207,
,63 bis unter 64,2943,1443,1500,2611,1291,1320,332,152,180,
,64 bis unter 65,2890,1401,1489,2584,1258,1326,306,143,163,
,65 bis unter 66,2828,1320,1508,2490,1171,1319,338,149,189,
,66 bis unter 67,2635,1222,1413,2333,1087,1246,302,135,167,
,67 bis unter 68,2579,1220,1359,2329,1129,1200,250,91,159,
,68 bis unter 69,2319,1099,1220,2069,1012,1057,250,87,163,
,69 bis unter 70,2330,1091,1239,2090,993,1097,240,98,142,
,70 bis unter 71,2411,1086,1325,2172,969,1203,239,117,122,
,71 bis unter 72,2413,1139,1274,2168,1029,1139,245,110,135,
,72 bis unter 73,2488,1140,1348,2236,1045,1191,252,95,157,
,73 bis unter 74,2444,1130,1314,2202,1012,1190,242,118,124,
,74 bis unter 75,2246,998,1248,2030,898,1132,216,100,116,
,75 bis unter 76,2025,872,1153,1820,774,1046,205,98,107,
,76 bis unter 77,1688,757,931,1538,690,848,150,67,83,
,77 bis unter 78,2329,1012,1317,2158,926,1232,171,86,85,
,78 bis unter 79,2324,987,1337,2174,910,1264,150,77,73,
,79 bis unter 80,2159,995,1164,2020,924,1096,139,71,68,
,80 bis unter 81,2394,1090,1304,2263,1025,1238,131,65,66,
,81 bis unter 82,2415,1023,1392,2294,963,1331,121,60,61,
,82 bis unter 83,2330,1013,1317,2220,955,1265,110,58,52,
,83 bis unter 84,1930,815,1115,1849,776,1073,81,39,42,
,84 bis unter 85,1658,684,974,1583,645,938,75,39,36,
,85 bis unter 86,1559,653,906,1489,620,869,70,33,37,
,86 bis unter 87,1361,550,811,1318,535,783,43,15,28,
,87 bis unter 88,1168,476,692,1118,448,670,50,28,22,
,88 bis unter 89,814,281,533,777,264,513,37,17,20,
,89 bis unter 90,656,251,405,617,230,387,39,21,18,
,90 bis unter 91,630,203,427,605,193,412,25,10,15,
,91 bis unter 92,553,219,334,537,215,322,16,4,12,
,92 bis unter 93,436,148,288,425,141,284,11,7,4,
,93 bis unter 94,351,108,243,341,105,236,10,3,7,
,94 bis unter 95,261,80,181,251,77,174,10,3,7,
,95 oder älter,741,173,568,712,166,546,29,7,22,
,Insgesamt,237041,114959,122082,196127,94803,101324,40914,20156,20758,
435,Unter 1,4254,2216,2038,3549,1854,1695,705,362,343,
Main-Kinzig-Kreis,  1 bis unter   2,4014,2008,2006,3381,1689,1692,633,319,314,
,  2 bis unter   3,4121,2145,1976,3427,1777,1650,694,368,326,
,  3 bis unter   4,4266,2230,2036,3589,1852,1737,677,378,299,
,  4 bis unter   5,4156,2109,2047,3402,1727,1675,754,382,372,
,  5 bis unter   6,4259,2229,2030,3510,1859,1651,749,370,379,
,  6 bis unter   7,4088,2129,1959,3333,1739,1594,755,390,365,
,  7 bis unter   8,4046,2102,1944,3319,1729,1590,727,373,354,
,  8 bis unter   9,3941,2020,1921,3271,1684,1587,670,336,334,
,  9 bis unter 10,3757,1963,1794,3129,1630,1499,628,333,295,
,10 bis unter 11,3842,1978,1864,3135,1590,1545,707,388,319,
,11 bis unter 12,3869,1979,1890,3219,1642,1577,650,337,313,
,12 bis unter 13,3952,1990,1962,3293,1647,1646,659,343,316,
,13 bis unter 14,4022,2110,1912,3405,1787,1618,617,323,294,
,14 bis unter 15,3979,2055,1924,3372,1731,1641,607,324,283,
,15 bis unter 16,3905,1973,1932,3338,1677,1661,567,296,271,
,16 bis unter 17,3931,2044,1887,3370,1749,1621,561,295,266,
,17 bis unter 18,4004,2059,1945,3459,1779,1680,545,280,265,
,18 bis unter 19,4155,2137,2018,3612,1834,1778,543,303,240,
,19 bis unter 20,4037,2066,1971,3504,1765,1739,533,301,232,
,20 bis unter 21,4077,2172,1905,3489,1824,1665,588,348,240,
,21 bis unter 22,4352,2286,2066,3619,1858,1761,733,428,305,
,22 bis unter 23,4393,2343,2050,3430,1822,1608,963,521,442,
,23 bis unter 24,4377,2341,2036,3313,1746,1567,1064,595,469,
,24 bis unter 25,4626,2476,2150,3483,1843,1640,1143,633,510,
