GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;03255;Holzminden, Landkreis;1721;1831;2309;2885;1812;1404;3602;3549;3811;3654;3647;3687;5454;6110;5594;9063;9729;69862
31.12.2021;03256;Nienburg (Weser), Landkreis;3354;3515;4512;5813;3663;2485;6505;6335;6898;6851;6715;6937;9732;10962;9658;14143;13695;121773
31.12.2021;03257;Schaumburg, Landkreis;4077;4339;5449;6732;4374;3124;7960;7675;8604;8758;8793;8943;12945;14463;12257;18926;20689;158108
31.12.2021;03351;Celle, Landkreis;5107;5292;6934;8538;5334;3660;8808;9185;10770;10668;10529;10156;13492;15122;13276;21316;21728;179915
31.12.2021;03352;Cuxhaven, Landkreis;5212;5623;7098;9139;5508;3862;9030;9325;10728;10761;10766;11346;16120;17600;15510;26146;25829;199603
31.12.2021;03353;Harburg, Landkreis;7425;7884;10077;12365;7353;5105;12296;12280;14122;15266;16282;15714;21435;23304;18551;27666;30423;257548
31.12.2021;03354;Lüchow-Dannenberg, Landkreis;1084;1222;1666;2034;1387;936;1987;2012;2286;2484;2654;2533;3773;4337;4220;6894;6963;48472
31.12.2021;03355;Lüneburg, Landkreis;5068;5370;7169;8640;5359;3855;11290;10654;11393;11273;11628;11228;14898;15881;12851;19390;19182;185129
31.12.2021;03356;Osterholz, Landkreis;3193;3485;4422;5290;3192;2237;5181;4956;6162;6636;6817;6738;9692;10497;8899;13663;13994;115054
31.12.2021;03357;Rotenburg (Wümme), Landkreis;4573;4730;5885;7744;5022;3547;9272;8832;9898;9544;9354;9747;13465;14628;12425;18777;17558;165001
