GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;06535;Vogelsbergkreis;2608;2699;3487;4500;2873;1922;5069;5036;5772;5776;5987;6259;8058;9587;9339;14072;12627;105671
31.12.2021;06611;Kassel, kreisfreie Stadt;6083;5894;7150;8569;5172;3886;15000;17053;16024;12928;11380;10934;13288;14549;12531;19394;20571;200406
31.12.2021;06631;Fulda, Landkreis;6371;6546;8352;10127;6639;4550;13187;13853;14175;13428;12944;13006;16900;18712;16072;24202;24508;223572
31.12.2021;06632;Hersfeld-Rotenburg, Landkreis;3244;3349;4248;5373;3453;2168;5940;6269;7116;6745;6782;6931;9347;10160;9440;14941;14657;120163
31.12.2021;06633;Kassel, Landkreis;6363;6589;8323;10347;6307;4271;10905;11385;13420;13417;13290;13891;19036;20943;18532;29903;30346;237268
31.12.2021;06634;Schwalm-Eder-Kreis;4556;4805;6407;7944;4924;3344;8836;9269;10610;10396;10385;10767;14341;15975;14447;22313;20733;180052
31.12.2021;06635;Waldeck-Frankenberg, Landkreis;4016;4291;5584;7119;4418;3121;7953;8322;8955;8702;8711;9015;12309;14040;12538;19050;18369;156513
31.12.2021;06636;Werra-Meißner-Kreis;2437;2572;3257;4120;2625;1789;5037;5183;5631;5426;5243;5461;7838;8728;8311;13165;12891;99714
31.12.2021;07111;Koblenz, kreisfreie Stadt;3155;3013;3763;4499;2612;2043;8192;9744;9098;7516;6538;5885;7373;8002;7096;11855;13254;113638
31.12.2021;07131;Ahrweiler, Landkreis;3559;3570;4489;5398;3244;2260;6231;6716;7374;7269;7152;6850;9903;11701;10373;15740;16317;128146
31.12.2021;07132;Altenkirchen (Westerwald), Landkreis;3728;3794;4783;5859;3612;2434;6510;7058;7931;7353;7283;7295;10016;11623;10284;15274;14424;129261
31.12.2021;07133;Bad Kreuznach, Landkreis;4378;4659;5709;7310;4309;3047;7749;8126;9413;9184;9150;9071;12187;13914;12733;20069;18394;159402
31.12.2021;07134;Birkenfeld, Landkreis;2305;2360;2781;3478;2118;1482;4112;4246;4797;4579;4335;4422;5872;6962;6832;10703;9465;80849
31.12.2021;07135;Cochem-Zell, Landkreis;1522;1600;2019;2592;1638;1148;3051;3160;3489;3276;3244;3429;4859;5864;5160;8016;7668;61735
31.12.2021;07137;Mayen-Koblenz, Landkreis;5979;6415;7903;9548;5824;4086;10863;11814;13360;13073;12953;12265;16506;18881;16796;25814;23366;215446
31.12.2021;07138;Neuwied, Landkreis;5564;5602;6866;8532;5269;3713;9343;9947;11237;10622;10537;10288;14016;16197;14468;21635;20554;184390
31.12.2021;07140;Rhein-Hunsrück-Kreis;2858;2921;3764;4524;2906;1958;4895;5297;6024;6186;5957;5915;8023;9341;8555;13121;11522;103767
31.12.2021;07141;Rhein-Lahn-Kreis;3248;3491;4422;5439;3280;2221;5712;6222;7172;7264;7213;7052;9442;11073;10058;15339;14076;122724
31.12.2021;07143;Westerwaldkreis;5796;6070;7584;9363;5873;4023;9798;10859;12734;12262;12168;11983;16325;18530;15814;23345;21304;203831
31.12.2021;07211;Trier, kreisfreie Stadt;2784;2812;3635;4265;2576;2228;9858;10326;9536;7878;6715;6039;7062;7802;6715;10221;10118;110570
31.12.2021;07231;Bernkastel-Wittlich, Landkreis;3209;3206;4074;4974;3131;2115;5434;5853;6683;6503;6669;6593;8581;10180;9053;14150;12786;113194
31.12.2021;07232;Eifelkreis Bitburg-Prüm;2847;3096;3796;4632;2840;1887;5068;5971;6522;6201;5904;5862;7740;9095;7879;11705;9914;100959
31.12.2021;07233;Vulkaneifel, Landkreis;1462;1578;2087;2502;1640;1113;2969;3154;3528;3333;3308;3381;4515;5675;5244;8067;7326;60882
31.12.2021;07235;Trier-Saarburg, Landkreis;4058;4307;5735;7427;4328;2798;6935;7761;9106;9490;9845;9180;12149;13477;11812;17509;15250;151167
31.12.2021;07311;Frankenthal (Pfalz), kreisfreie Stadt;1448;1568;1846;2236;1336;899;2547;2879;3256;3035;3064;2772;3455;3686;3504;5183;6059;48773
31.12.2021;07312;Kaiserslautern, kreisfreie Stadt;2971;2828;3171;3901;2312;1879;7650;9542;7580;6060;5223;5002;6450;7216;6813;10333;10361;99292
31.12.2021;07313;Landau in der Pfalz, kreisfreie Stadt;1269;1308;1514;1946;1155;894;4018;3947;3324;2817;2497;2565;3310;3685;3251;4710;4709;46919
31.12.2021;07314;Ludwigshafen am Rhein, kreisfreie Stadt;5666;5838;7178;8648;5036;3473;10281;11676;12637;11547;11020;10665;12217;12883;10751;15799;16830;172145
31.12.2021;07315;Mainz, kreisfreie Stadt;6079;5802;7102;8592;4968;4067;18775;21301;19684;16350;13475;12030;14052;14025;12144;18765;20345;217556
31.12.2021;07316;Neustadt an der Weinstraße, kreisfreie Stadt;1493;1605;1882;2285;1423;985;2555;2815;3424;3101;2890;2743;3976;4578;4394;6432;6910;53491
31.12.2021;07317;Pirmasens, kreisfreie Stadt;1041;1046;1386;1752;978;750;2218;2351;2441;2136;2131;2072;2798;3376;3180;5094;5304;40054
31.12.2021;07318;Speyer, kreisfreie Stadt;1337;1396;1736;2246;1362;1022;2611;2930;3193;2911;2995;2950;3881;4223;3899;5953;5920;50565
31.12.2021;07319;Worms, kreisfreie Stadt;2507;2649;3285;3941;2378;1697;5168;5600;5553;5098;5134;5001;5894;6397;5939;9060;8549;83850
31.12.2021;07320;Zweibrücken, kreisfreie Stadt;853;908;1192;1463;890;620;1852;2153;2308;2084;2009;1838;2323;2667;2722;4114;4095;34091
31.12.2021;07331;Alzey-Worms, Landkreis;3931;4108;5123;5983;3639;2644;6530;6509;8064;8202;8117;7887;10304;11621;10690;15790;12188;131330
31.12.2021;07332;Bad Dürkheim, Landkreis;3526;3701;4608;5674;3492;2380;5711;6225;7348;7417;7682;7420;10864;12447;11395;17122;16194;133206
31.12.2021;07333;Donnersbergkreis;2051;2194;2717;3459;2235;1515;3623;3643;4421;4321;4438;4369;5869;6969;6376;9600;7769;75569
31.12.2021;07334;Germersheim, Landkreis;3830;3969;4997;5944;3560;2481;6729;7053;8233;8252;8089;7860;10087;11139;10041;14401;12648;129313
31.12.2021;07335;Kaiserslautern, Landkreis;3750;3737;4112;5003;3030;2013;5034;5152;6248;6473;6257;5942;7918;9242;8687;13029;11226;106853
31.12.2021;07336;Kusel, Landkreis;1954;1987;2449;2892;1794;1224;3238;3473;3922;3877;3754;3777;5275;6387;6256;9725;7965;69949
31.12.2021;07337;Südliche Weinstraße, Landkreis;2891;3148;4012;4826;2950;1981;4932;5349;6235;6584;6361;6420;8931;10466;9324;14318;12551;111279
31.12.2021;07338;Rhein-Pfalz-Kreis;4556;5010;6142;6973;4045;2697;6859;7275;9194;9490;9756;8895;11878;13812;12289;18147;18032;155050
31.12.2021;07339;Mainz-Bingen, Landkreis;5964;6346;8389;10228;6141;4173;10045;10032;11907;12893;13526;13226;17526;19100;16511;24377;22036;212420
31.12.2021;07340;Südwestpfalz, Landkreis;2340;2365;3119;3719;2319;1589;4031;4482;5328;5165;5136;5118;7473;9091;8502;12990;12052;94819
31.12.2021;08111;Stuttgart, kreisfreie Stadt;18060;16863;20558;25980;15604;11129;40078;53191;57331;48823;43347;39757;43432;42751;34766;52051;62554;626275
31.12.2021;08115;Böblingen, Landkreis;12725;12738;15825;18822;11455;7614;20139;22810;27028;26198;25645;24371;29829;30950;26204;38330;42512;393195
31.12.2021;08116;Esslingen, Landkreis;16107;15646;19626;24496;15307;10191;28983;32989;35956;34170;33702;33603;41159;43767;35865;52742;59079;533388
31.12.2021;08117;Göppingen, Landkreis;7573;7970;9691;11908;7558;4955;13893;14981;16291;15963;15739;15585;19758;21413;18576;27787;29405;259046
31.12.2021;08118;Ludwigsburg, Landkreis;17033;17222;21327;25906;15492;10481;28132;32600;37664;35728;35831;34337;42027;43563;36304;53404;57628;544679
31.12.2021;08119;Rems-Murr-Kreis;12802;12971;16165;19733;12554;8405;22438;24639;26969;26281;25962;26073;33415;36295;30228;44363;48023;427316
31.12.2021;08121;Heilbronn, kreisfreie Stadt;3881;4010;4834;6012;3665;2673;8035;9268;9341;8354;8166;7772;8588;8794;7735;11586;12899;125613
31.12.2021;08125;Heilbronn, Landkreis;11193;10984;13554;16328;9999;6841;18558;20056;23228;22605;22254;21879;26917;29202;24814;35822;33564;347798
31.12.2021;08126;Hohenlohekreis;3548;3470;4101;5422;3331;2289;6299;6743;7620;7170;6883;6781;8696;9483;8465;12061;10956;113318
31.12.2021;08127;Schwäbisch Hall, Landkreis;6258;6359;7881;9425;6006;4116;10875;12096;13421;13216;12238;11895;14883;16297;14580;21553;18299;199398
31.12.2021;08128;Main-Tauber-Kreis;3726;3795;4669;5890;3769;2657;6842;7268;8035;7906;7781;7729;9988;11341;10467;16228;14865;132956
31.12.2021;08135;Heidenheim, Landkreis;3822;3862;5098;6314;3924;2692;7171;7579;8338;8350;8127;7883;9785;10703;9689;14367;15254;132958
31.12.2021;08136;Ostalbkreis;9296;9281;11674;14707;9302;6707;18245;18877;20012;19409;18765;19167;23788;25621;23050;33892;33216;315009
31.12.2021;08211;Baden-Baden, kreisfreie Stadt;1450;1458;1778;2223;1433;927;2623;3093;3155;3250;3306;3229;4257;4616;4143;6723;7863;55527
31.12.2021;08212;Karlsruhe, kreisfreie Stadt;7882;7729;9556;11815;7125;6189;24912;27888;25521;21443;18978;17790;20972;21966;18330;27782;30624;306502
31.12.2021;08215;Karlsruhe, Landkreis;12853;12951;17094;20284;12620;8337;22614;24828;28209;28352;27889;27603;35226;38440;33232;50000;47955;448487
31.12.2021;08216;Rastatt, Landkreis;6492;6587;8428;10482;6460;4443;11654;12696;14184;14390;14245;13826;18021;20197;18003;26684;25504;232296
31.12.2021;08221;Heidelberg, kreisfreie Stadt;4495;4350;4995;6143;3489;4173;16742;15458;14222;12432;9688;8200;9462;9829;8307;13056;14204;159245
31.12.2021;08222;Mannheim, kreisfreie Stadt;9070;8936;10601;12618;7623;6428;23716;26429;26166;22136;19761;18486;21660;22304;18629;27953;29315;311831
31.12.2021;08225;Neckar-Odenwald-Kreis;4031;4155;5128;6374;4266;2956;7465;7864;8583;8486;8266;8470;11159;12659;11609;17102;15356;143929
31.12.2021;08226;Rhein-Neckar-Kreis;15615;16343;20981;25299;15444;10233;27502;30055;33927;34016;34174;32609;43376;46921;40372;60882;61281;549030
31.12.2021;08231;Pforzheim, kreisfreie Stadt;4247;4110;5039;5964;3766;2596;7766;8780;9116;8109;7783;7247;8656;8901;8033;12223;13193;125529
31.12.2021;08235;Calw, Landkreis;4842;4842;6132;7534;4643;3340;8609;8740;10052;9727;9695;9753;12057;13858;12347;17557;16958;160686
31.12.2021;08236;Enzkreis;6098;6243;7579;9357;5711;3984;10410;10510;12161;12393;12054;11607;15796;17420;15171;21574;22169;200237
31.12.2021;08237;Freudenstadt, Landkreis;3464;3451;4371;5606;3643;2435;6575;6907;7255;7071;6965;7202;9188;10402;9156;13047;12445;119183
31.12.2021;08311;Freiburg im Breisgau, kreisfreie Stadt;7005;6569;8032;9615;5766;5160;20884;22085;20534;16931;13988;12511;14502;15260;13153;19599;20254;231848
31.12.2021;08315;Breisgau-Hochschwarzwald, Landkreis;7973;8103;10178;12604;7719;5249;13327;14786;15915;15947;15761;15422;20171;22412;19580;30315;30330;265792
31.12.2021;08316;Emmendingen, Landkreis;5110;5163;6497;7749;5006;3213;8456;9078;10279;10512;10088;9994;12960;14359;12687;18867;17927;167945
31.12.2021;08317;Ortenaukreis;12955;13176;16773;20321;12721;8603;23164;25246;27782;26634;25674;25397;33214;36561;32467;48264;45583;434535
31.12.2021;08325;Rottweil, Landkreis;4431;4345;5417;6717;4199;2803;7333;8120;8806;8382;8093;8304;10742;12026;10403;15076;15249;140446
31.12.2021;08326;Schwarzwald-Baar-Kreis;6500;6385;7934;9897;6028;4077;11529;12470;14094;13055;12606;12007;15327;17130;15754;23721;24871;213385
31.12.2021;08327;Tuttlingen, Landkreis;4705;4637;5817;7177;4523;2949;7999;8671;9594;9120;8851;8631;10303;11064;9959;14316;14098;142414
31.12.2021;08335;Konstanz, Landkreis;8185;8374;10513;12913;7767;6270;20145;18967;18241;17502;16314;16108;21164;23487;20047;29918;32182;288097
31.12.2021;08336;Lörrach, Landkreis;6492;7160;9045;11329;6898;4334;11417;12883;14568;14594;13944;13669;17806;19615;17379;24025;24287;229445
31.12.2021;08337;Waldshut, Landkreis;4448;5267;6906;8498;5230;3476;8688;9458;10701;10571;10291;9869;12648;14447;12901;19507;18343;171249
31.12.2021;08415;Reutlingen, Landkreis;8742;8970;10969;13494;8431;5867;16041;16616;18394;18054;17352;17543;22032;23963;20547;30037;31106;288158
31.12.2021;08416;Tübingen, Landkreis;6863;7040;8507;10122;6281;5405;19183;18374;16907;15049;13246;12539;15533;17338;15293;21795;20331;229806
31.12.2021;08417;Zollernalbkreis;5467;5541;6821;8614;5389;3702;9940;10848;11892;11556;10958;11290;14450;16399;14740;21460;21478;190545
31.12.2021;08421;Ulm, kreisfreie Stadt;3700;3482;4510;5599;3305;2676;9729;11056;10515;8668;8074;7636;8511;8422;7236;11432;12398;126949
31.12.2021;08425;Alb-Donau-Kreis;6475;6405;7958;9810;6158;4292;11105;11614;12990;12587;12444;12189;15054;16611;14187;20383;19470;199732
31.12.2021;08426;Biberach, Landkreis;6653;6740;8362;10191;6195;4172;10993;11813;13855;13361;12491;12586;15425;16319;14548;20666;18874;203244
31.12.2021;08435;Bodenseekreis;6256;6348;7847;9992;6200;4378;11209;12293;13655;13230;13143;12779;16671;17983;15859;24406;26636;218885
31.12.2021;08436;Ravensburg, Landkreis;8923;8821;10907;13602;8514;5945;17145;17807;19083;17597;17210;17178;22012;23138;20217;29652;29260;287011
31.12.2021;08437;Sigmaringen, Landkreis;3895;3885;5008;6171;3935;2778;7565;7757;8267;7833;7471;7604;9965;11567;10073;14349;13602;131725
31.12.2021;09161;Ingolstadt, kreisfreie Stadt;4648;4394;5310;6051;3613;2652;8088;9953;11578;10456;9425;8530;9590;9498;8461;12479;13290;138016
31.12.2021;09162;München, kreisfreie Stadt;49145;44097;53172;59863;34323;25721;94023;133132;141898;117636;103464;93736;103059;98947;76913;119082;139497;1487708
31.12.2021;09163;Rosenheim, kreisfreie Stadt;1971;1863;2247;2769;1706;1213;3922;4779;4833;4273;4061;3961;4515;4780;3761;6125;6729;63508
31.12.2021;09171;Altötting, Landkreis;3394;3444;4215;5108;3188;2221;5879;6333;6764;7025;6715;6640;8535;9328;8375;12508;12444;112116
31.12.2021;09172;Berchtesgadener Land, Landkreis;2786;3010;3709;4415;2796;1894;5804;6437;7029;6841;6365;6002;7989;8593;7375;11755;13589;106389
31.12.2021;09173;Bad Tölz-Wolfratshausen, Landkreis;3788;3965;4903;5893;3607;2471;6549;6886;7842;7900;8014;7749;10271;10952;9066;13207;14856;127919
31.12.2021;09174;Dachau, Landkreis;4911;4971;6135;7459;4440;2986;8272;8978;10365;10570;11010;10166;12406;12765;10350;14608;15057;155449
31.12.2021;09175;Ebersberg, Landkreis;4479;4592;6194;7453;4474;2873;7902;7670;8626;9517;10079;9710;12167;11887;9457;12616;14866;144562
31.12.2021;09176;Eichstätt, Landkreis;4608;4639;5722;6628;3960;2733;7559;7635;8799;9246;9021;8308;10047;10644;9475;12921;11689;133634
31.12.2021;09177;Erding, Landkreis;4349;4403;5530;6735;4167;2847;7972;8333;8904;9220;9588;9382;11826;12215;9514;12924;11713;139622
31.12.2021;09178;Freising, Landkreis;5709;5553;7078;8457;5135;3686;11681;12698;13346;12764;12535;11988;14375;14799;11606;15069;14665;181144
31.12.2021;09179;Fürstenfeldbruck, Landkreis;6421;6734;8741;10588;6295;4232;11213;11572;13251;13577;14723;13988;17302;17718;14183;21572;26469;218579
31.12.2021;09180;Garmisch-Partenkirchen, Landkreis;2386;2433;2949;3549;2198;1542;4480;5096;5282;4958;4976;4987;6949;7750;6308;10085;12304;88232
31.12.2021;09181;Landsberg am Lech, Landkreis;3481;3705;4787;5925;3612;2404;6311;6442;7113;7456;7601;7469;10126;10955;8945;12559;12575;121466
31.12.2021;09182;Miesbach, Landkreis;2808;2887;3646;4600;2745;1853;4870;5292;5889;5962;6141;6221;8327;8735;7166;10345;12491;99978
31.12.2021;09183;Mühldorf am Inn, Landkreis;3566;3602;4538;5401;3319;2283;6506;7080;7778;7409;7457;7315;9197;9714;8533;12499;11409;117606
31.12.2021;09184;München, Landkreis;9973;10597;14547;18209;10709;6998;19669;19105;21018;22174;24054;23365;28309;27445;20986;31183;41496;349837
31.12.2021;09185;Neuburg-Schrobenhausen, Landkreis;3101;3154;4019;4714;2806;2011;5325;5631;6260;6525;6546;6113;7513;8051;7284;10082;9368;98503
31.12.2021;09186;Pfaffenhofen an der Ilm, Landkreis;4256;4247;5248;6021;3602;2434;6814;7561;8868;9331;8818;8033;10004;10806;9289;12646;11794;129772
31.12.2021;09187;Rosenheim, Landkreis;7764;7868;10027;12020;7564;5165;13791;14414;16060;16139;15738;15840;21197;22672;19208;28470;29430;263367
31.12.2021;09188;Starnberg, Landkreis;3589;3953;5564;7041;4311;2813;6652;6216;6793;7440;8567;8842;11378;12115;9393;13943;18137;136747
31.12.2021;09189;Traunstein, Landkreis;5151;5089;6267;7924;4950;3397;9133;10282;10991;10651;10492;10595;13507;15139;13452;20274;21153;178447
31.12.2021;09190;Weilheim-Schongau, Landkreis;4080;4179;5393;6419;3902;2677;7046;7409;8060;8406;8097;7859;10672;11798;10107;14811;15727;136642
31.12.2021;09261;Landshut, kreisfreie Stadt;2126;2012;2549;3191;1806;1315;4271;5339;5530;4938;4851;4709;5506;5314;4546;7248;7899;73150
31.12.2021;09262;Passau, kreisfreie Stadt;1338;1249;1564;1855;1104;1150;4758;4752;4446;3546;2916;2697;3321;3542;3391;5528;5936;53093
31.12.2021;09263;Straubing, kreisfreie Stadt;1259;1211;1469;1920;1217;871;2814;3361;3468;3146;3120;2861;3525;3681;3505;5327;5099;47854
31.12.2021;09271;Deggendorf, Landkreis;3279;3202;4209;5072;3329;2447;7401;7795;7628;7366;7398;7350;9173;10090;9324;13670;11788;120521
31.12.2021;09272;Freyung-Grafenau, Landkreis;2026;2102;2615;3117;2062;1572;4259;4409;4510;4530;4414;4806;6158;7050;6890;10130;7982;78632
31.12.2021;09273;Kelheim, Landkreis;3888;3842;4810;5979;3627;2562;6806;7374;8187;8207;7932;7892;9653;10279;8855;12781;11225;123899
31.12.2021;09274;Landshut, Landkreis;5074;5173;6516;7929;4713;3147;8717;8872;10208;10478;10623;10507;13099;14000;11906;16836;14533;162331
31.12.2021;09275;Passau, Landkreis;5208;5104;6918;8367;5203;3730;10118;10624;11506;11305;11717;11946;15262;16529;15600;24031;20922;194090
31.12.2021;09276;Regen, Landkreis;2092;2062;2632;3157;2080;1442;4057;4271;4705;4463;4451;4619;5944;6668;6468;9990;8075;77176
31.12.2021;09277;Rottal-Inn, Landkreis;3388;3449;4343;5438;3363;2386;6951;7273;7462;7359;7351;7356;9486;10263;9574;13804;13006;122252
31.12.2021;09278;Straubing-Bogen, Landkreis;3241;3099;3837;4684;2950;2041;5458;5373;6492;6439;6310;6485;8473;8768;7875;11364;9509;102398
31.12.2021;09279;Dingolfing-Landau, Landkreis;3044;2925;3517;4349;2667;1893;5306;6035;6842;6460;6225;6245;7648;8103;7520;10377;8889;98045
31.12.2021;09361;Amberg, kreisfreie Stadt;1126;1133;1349;1720;1084;765;2355;2657;2827;2632;2415;2264;3031;3480;3098;5008;5050;41994
31.12.2021;09362;Regensburg, kreisfreie Stadt;4420;3864;4890;5817;3514;2785;12491;15100;15415;11716;9586;8583;9948;10123;8593;12811;13886;153542
31.12.2021;09363;Weiden in der Oberpfalz, kreisfreie Stadt;1137;1118;1368;1658;1089;775;2659;2832;2844;2464;2478;2400;3186;3467;3074;4774;5149;42472
31.12.2021;09371;Amberg-Sulzbach, Landkreis;3206;2963;3498;4470;2765;1935;5439;5524;6255;6137;6003;6021;8145;9504;8682;11905;10825;103277
31.12.2021;09372;Cham, Landkreis;3644;3544;4515;5435;3463;2321;6869;7389;7891;7786;7632;7853;10028;11066;10372;15525;13111;128444
31.12.2021;09373;Neumarkt in der Oberpfalz, Landkreis;4309;4093;5207;6174;3718;2633;7643;8032;8688;8553;8605;8402;10855;11794;10316;14504;12536;136062
31.12.2021;09374;Neustadt an der Waldnaab, Landkreis;3183;2819;3264;4049;2547;1814;4978;5069;5725;5799;5559;5546;7614;8505;7761;11106;9500;94838
31.12.2021;09375;Regensburg, Landkreis;5811;6083;7700;9238;5529;3826;9808;10185;11831;12484;12893;12574;15700;16938;14784;21709;18132;195225
31.12.2021;09376;Schwandorf, Landkreis;4301;4296;5260;6413;4079;2855;8209;8813;9523;9255;9414;9278;11575;12845;11404;16836;14883;149239
31.12.2021;09377;Tirschenreuth, Landkreis;1955;1893;2492;2928;1823;1292;3677;3966;4190;4116;4059;4279;5706;6411;5941;8848;8072;71648
31.12.2021;09461;Bamberg, kreisfreie Stadt;2292;2148;2519;2887;1707;1413;5632;7171;7286;5588;4403;4134;5240;5394;4826;7194;7915;77749
31.12.2021;09462;Bayreuth, kreisfreie Stadt;1714;1716;2052;2607;1594;1797;7307;6854;5287;4324;4005;3954;4741;5136;4686;7878;8257;73909
31.12.2021;09463;Coburg, kreisfreie Stadt;1066;1030;1271;1598;971;754;2644;2654;2945;2628;2257;2074;2980;3230;3076;4688;5089;40955
31.12.2021;09464;Hof, kreisfreie Stadt;1264;1264;1656;1874;1114;838;2692;2898;2945;2589;2490;2450;3273;3543;3243;5434;5558;45125
31.12.2021;09471;Bamberg, Landkreis;4407;4613;5602;6719;4094;2859;7516;7642;9254;9520;9303;9200;11974;13258;11960;16302;13474;147697
31.12.2021;09472;Bayreuth, Landkreis;2832;2801;3625;4572;2830;1965;4904;4935;5896;6059;6231;6365;8622;9301;8584;12604;11522;103648
31.12.2021;09473;Coburg, Landkreis;2379;2425;2980;3573;2279;1481;4023;4125;5133;5385;5086;4937;7037;7852;7105;10767;9977;86544
31.12.2021;09474;Forchheim, Landkreis;3415;3485;4513;5175;3196;2247;5890;6049;7054;7259;7379;6810;9097;10613;9546;13237;11788;116753
31.12.2021;09475;Hof, Landkreis;2294;2293;3000;3741;2409;1729;4426;4432;5069;4931;4995;5423;7834;8639;8043;12120;12529;93907
31.12.2021;09476;Kronach, Landkreis;1414;1474;1992;2630;1617;1203;3184;3248;3530;3667;3809;4056;5566;6211;5794;8589;8107;66091
31.12.2021;09477;Kulmbach, Landkreis;1715;1732;2150;2876;1850;1333;3572;3610;3920;3877;4026;4377;5909;6491;6028;9319;8543;71328
31.12.2021;09478;Lichtenfels, Landkreis;1737;1788;2299;2858;1633;1162;3357;3668;3868;3836;3984;4046;5256;6020;5523;8106;7600;66741
31.12.2021;09479;Wunsiedel im Fichtelgebirge, Landkreis;1752;1857;2230;2849;1768;1262;3441;3610;3794;3775;3839;3916;5717;6419;6139;9499;9615;71482
31.12.2021;09561;Ansbach, kreisfreie Stadt;1414;1239;1467;1772;1161;780;2574;2697;2704;2559;2461;2389;2980;3324;3011;4537;4593;41662
31.12.2021;09562;Erlangen, kreisfreie Stadt;3200;3141;3939;4690;2804;2275;9344;11225;9923;7799;6928;6004;7495;7867;6547;9367;10744;113292
31.12.2021;09563;Fürth, kreisfreie Stadt;4065;3913;4661;5374;3248;2294;7331;8762;9765;9171;8952;8371;9922;10468;8548;12473;11804;129122
31.12.2021;09564;Nürnberg, kreisfreie Stadt;15178;14885;18178;21726;13090;9238;30578;38301;40449;35501;33504;31416;36624;36699;31377;49250;54638;510632
31.12.2021;09565;Schwabach, kreisfreie Stadt;1189;1257;1586;1909;1131;728;2209;2260;2465;2569;2615;2463;3368;3499;2877;4317;4704;41146
31.12.2021;09571;Ansbach, Landkreis;5722;5743;6901;8569;5313;3723;10307;10570;11755;11602;11436;11267;14440;16001;14316;20587;18027;186279
31.12.2021;09572;Erlangen-Höchstadt, Landkreis;4259;4546;5778;6814;3931;2589;6747;6792;8242;9229;9373;8589;10865;11624;10382;15590;13973;139323
31.12.2021;09573;Fürth, Landkreis;3529;3739;4610;5324;2991;2099;5568;5887;7052;7436;7602;7166;9463;10242;8898;13737;14089;119432
31.12.2021;09574;Nürnberger Land, Landkreis;4931;5067;6475;7555;4592;3148;8125;8397;10075;10638;10837;10363;14063;14841;13012;19451;19854;171424
31.12.2021;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;2977;3017;3808;4562;2790;2009;5407;5445;6214;6322;6247;6027;7946;8942;8020;11800;10255;101788
31.12.2021;09576;Roth, Landkreis;3717;4021;4786;5712;3376;2468;6492;6584;7622;7868;7949;7639;10408;11408;9749;14166;13555;127520
31.12.2021;09577;Weißenburg-Gunzenhausen, Landkreis;2833;2898;3462;4264;2751;1959;4943;5123;5987;5642;5595;5589;7056;8329;7551;11238;10303;95523
31.12.2021;09661;Aschaffenburg, kreisfreie Stadt;2105;2010;2386;3089;1826;1293;4044;4778;5362;4764;4431;4385;5104;5722;4962;7682;7438;71381
31.12.2021;09662;Schweinfurt, kreisfreie Stadt;1520;1559;1924;2331;1439;1107;3502;3500;3549;3365;3096;2880;3339;3903;3692;6080;6799;53585
31.12.2021;09663;Würzburg, kreisfreie Stadt;3454;2929;3611;3931;2449;2337;12726;13754;11617;8450;6835;6065;7402;8187;7362;11929;13895;126933
31.12.2021;09671;Aschaffenburg, Landkreis;5090;5069;6233;7702;4781;3234;8337;9040;10490;10781;10512;10161;14134;16172;13887;20331;19011;174965
31.12.2021;09672;Bad Kissingen, Landkreis;2788;2738;3476;4286;2719;1918;4922;5219;5956;5822;5714;5880;7821;9137;8638;13472;12948;103454
31.12.2021;09673;Rhön-Grabfeld, Landkreis;2197;2236;2847;3502;2266;1569;3948;4248;4642;4710;4448;4455;6094;7135;6570;9930;8579;79376
31.12.2021;09674;Haßberge, Landkreis;2383;2490;3105;3653;2314;1604;4314;4399;4981;5202;4934;4871;6468;7588;7224;10302;8452;84284
31.12.2021;09675;Kitzingen, Landkreis;2730;2727;3445;3947;2482;1827;4744;5145;5966;5842;5704;5450;7171;8026;7120;10484;9170;91980
31.12.2021;09676;Miltenberg, Landkreis;3627;3655;4723;5712;3593;2475;6600;6908;7572;7507;7761;7903;10491;11468;9952;14970;13865;128782
31.12.2021;09677;Main-Spessart, Landkreis;3393;3550;4280;5175;3350;2333;6018;6456;7318;7322;7210;7324;9954;11388;10569;16006;14459;126105
31.12.2021;09678;Schweinfurt, Landkreis;3447;3440;4315;5142;3123;2193;5737;6336;7320;7156;6778;6413;8720;10344;9321;13834;12515;116134
31.12.2021;09679;Würzburg, Landkreis;4938;4999;6197;7291;4486;3080;8066;8482;9916;10479;10168;9639;12245;13872;12984;19801;16891;163534
